contestantId,contestantName,code
8i26qyy9l1nqijthy5wuji5sr,Brisbane City,BCT
d44s5vzvbgwn0bs2ownvuk8kq,Brisbane Roar II,BRR
1u6fd4mmcvzdhm0kqa1vqm3ve,Eastern Suburbs,EAS
95pnlf4hiqig163gmpraws6xz,Gold Coast Knights,GCK
b9g7l0nuc2mlmmtk7povjyxx4,Gold Coast United,GCU
f4xer4sohvr6auaiqw3ghqd6o,Lions,LIO
9idpx0jys2ghp9ktk0robroq1,Moreton Bay United,MBJ
2aofpfcn4ads3zzip4q9n6udy,Olympic,BOL
azlyx4gb1l7sae8w8tevg1c55,Peninsula Power,PEN
aarq4u59zcgcm3km6yb0rikjt,Redlands United,RED
4yy1apqvpdzlrugwaamnw8yoz,Rochedale Rovers,ROC
13jbeabivi2n3a47dm14n2s8a,SC Wanderers,SCW
